,Date,ROUTER 1,TRANSCIEVER,SWITCH 1,ACCESS POINT 1,ACCESS POINT 2,SWITCH 2,SWITCH 3,POWER SUPPLY 1,SWITCH 4,SWITCH 5,SWITCH 6,ACCESS POINT 3,SUPERVISOR ENGINE,SWITCH 7,WIRELESS CONTROLLER,SWITCH 8,SWITCH 9,ACCESS POINT 4,SWITCH 10,POWER SUPPLY 2
0,2020-05-01,1176.8742401640188,87173.0,12.617557676663637,35383.65331112113,48605.014593267304,13432.0,28585.0,115709.0,4253.699954002343,4571.0,5090.450247792664,65048.0,2173.4306143634662,6073.0,1208.0,4.0,6187.0,28466.91828161777,24885.026732633014,28279.0
1,2021-08-01,1203.8804185534916,102849.0,6431.362818569343,34595.13094320631,62326.89273676226,12463.0,19686.0,98337.0,4316.469327679613,4100.0,5568.048415007134,67810.0,1798.500089005326,5459.0,963.0,-4.0,5301.0,34195.09951054738,20614.045510048316,22704.0
2,2021-11-01,301.70575416117526,126375.0,1651.9923493235256,14749.609871261287,10265.570118654272,13452.0,44724.0,147681.0,3791.645149696739,4830.0,2655.987194595422,90928.0,2323.8841654829075,6736.0,1698.0,36.0,7172.0,12525.940084082642,28536.875855122023,24098.0
3,2021-02-01,906.0,128629.0,3651.0,37406.30186194528,-59390.459948692864,14581.0,37781.0,185327.0,177.0,5472.0,2356.596557178148,148547.0,1692.827605630111,12213.0,1833.0,305.0,7582.0,-4167.431660385446,49038.72830197958,31461.0
4,2021-05-01,941.0,179125.0,10409.0,38594.81672042483,-132651.39501831075,15831.0,31905.0,194170.0,270.0,7391.0,1880.704827938972,228945.0,177.64679344807473,13883.0,2423.0,1093.0,10964.0,-19098.241195424853,69943.09465039162,47009.0
5,2022-08-01,663.0,138750.0,10575.0,57206.75883366971,-122373.22771442214,13864.0,37888.0,220386.0,850.0,7894.0,1641.0765977523533,204184.0,1169.219523128441,27045.0,2602.0,2360.0,11501.0,-20113.90375497796,65429.36870144143,35145.0
6,2022-11-01,769.0,208760.0,17934.0,9576.0,-162594.04840409476,15012.0,32689.0,204604.0,2717.0,7101.0,222.0,245453.0,15.0,15162.0,2341.0,4317.0,14980.0,-28756.793923959995,77480.06452006673,45978.0
7,2022-02-01,3565.0,116126.0,15104.0,46029.0,-180301.038476078,11349.0,30442.0,194538.0,3833.0,6943.0,1549.0,245803.0,108.0,13855.0,1830.0,4343.0,9158.0,-23217.165383579413,101991.87223877836,34518.0
8,2022-05-01,1020.0,150803.0,15525.0,109452.0,26769.0,10422.0,27028.0,185160.0,4279.0,6126.0,4619.0,136283.0,1972.0,12351.0,1567.0,4094.0,11601.0,13260.0,1227.0,40605.0
9,2023-08-01,1670.0,82163.0,6938.0,54955.0,33670.0,8726.0,21246.0,147284.0,6089.0,4616.0,4764.0,76020.0,2427.0,8933.0,1210.0,2756.0,3788.0,21667.0,24186.0,26925.0
10,2023-11-01,38.0,82408.0,9595.0,60478.0,74853.0,10185.0,21149.0,136997.0,8063.0,4680.0,5015.0,51586.0,2841.0,5909.0,1659.0,3126.0,5338.0,30498.0,7680.0,23635.0
11,2023-02-01,2141.0,67132.0,9231.0,62708.0,80944.0,8645.0,10584.0,100623.0,2535.0,4397.0,6656.0,53431.0,2096.0,6643.0,1311.0,2808.0,5595.0,40505.0,16772.0,17799.0
